2025-04-04T01:02:03.367Z-04:00 | INFO | {request_id=26716, questions={requestName=firebaselogging.googleapis.com, request_type=AAAA}, answers=[{resolvedAddress=2607:f8b0:4006:806::200a, resolvedType=AAAA}, {resolvedAddress=2607:f8b0:4006:807::200a, resolvedType=AAAA}, {resolvedAddress=2607:f8b0:4006:809::200a, resolvedType=AAAA}, {resolvedAddress=2607:f8b0:4006:821::200a, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=232 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:03.449Z-04:00 | INFO | {request_id=22711, questions={requestName=firebaselogging.googleapis.com, request_type=A}, answers=[{resolvedAddress=142.251.41.10, resolvedType=A}, {resolvedAddress=142.250.65.202, resolvedType=A}, {resolvedAddress=142.250.65.170, resolvedType=A}, {resolvedAddress=142.251.35.170, resolvedType=A}, {resolvedAddress=172.217.165.138, resolvedType=A}, {resolvedAddress=142.250.80.74, resolvedType=A}, {resolvedAddress=142.251.40.138, resolvedType=A}, {resolvedAddress=142.251.40.170, resolvedType=A}, {resolvedAddress=142.250.80.10, resolvedType=A}, {resolvedAddress=142.250.81.234, resolvedType=A}, {resolvedAddress=142.251.40.106, resolvedType=A}, {resolvedAddress=142.250.64.106, resolvedType=A}, {resolvedAddress=142.250.65.234, resolvedType=A}, {resolvedAddress=142.250.80.42, resolvedType=A}, {resolvedAddress=142.251.32.106, resolvedType=A}, {resolvedAddress=142.250.72.106, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=46 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:07.979Z-04:00 | INFO | {request_id=32308, questions={requestName=www.drivehq.com, request_type=AAAA}, answers=[], response_code=NO_ERROR, resolver_type=https, resolving_time=104 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:08.084Z-04:00 | INFO | {request_id=6679, questions={requestName=www.drivehq.com, request_type=A}, answers=[{resolvedAddress=66.220.9.57, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=94 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:18.947Z-04:00 | INFO | {request_id=26330, questions={requestName=app-measurement.com, request_type=AAAA}, answers=[{resolvedAddress=2607:f8b0:4006:816::200e, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=52 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:18.994Z-04:00 | INFO | {request_id=32066, questions={requestName=app-measurement.com, request_type=A}, answers=[{resolvedAddress=142.250.65.238, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=37 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:41.150Z-04:00 | INFO | {request_id=32243, questions={requestName=android.apis.google.com, request_type=AAAA}, answers=[{resolvedAddress=android.apis.google.com, resolvedType=CNAME}, {resolvedAddress=2607:f8b0:4006:81d::200e, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=35 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:41.196Z-04:00 | INFO | {request_id=23435, questions={requestName=android.apis.google.com, request_type=A}, answers=[{resolvedAddress=android.apis.google.com, resolvedType=CNAME}, {resolvedAddress=142.250.64.110, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=35 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:59.435Z-04:00 | INFO | {request_id=11219, questions={requestName=graph.facebook.com, request_type=AAAA}, answers=[{resolvedAddress=graph.facebook.com, resolvedType=CNAME}, {resolvedAddress=2a03:2880:f35a:8d:face:b00c:0:2, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=48 ms, resolver_address=162.159.36.1}
2025-04-04T01:02:59.476Z-04:00 | INFO | {request_id=15997, questions={requestName=graph.facebook.com, request_type=A}, answers=[{resolvedAddress=graph.facebook.com, resolvedType=CNAME}, {resolvedAddress=57.144.180.141, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=32 ms, resolver_address=162.159.36.1}
2025-04-04T01:03:57.799Z-04:00 | INFO | {request_id=20521, questions={requestName=connectivity.cloudflareclient.com, request_type=AAAA}, answers=[{resolvedAddress=2606:4700:7::a29f:8a41, resolvedType=AAAA}, {resolvedAddress=2606:4700:7::a29f:8941, resolvedType=AAAA}], response_code=NO_ERROR, resolver_type=https, resolving_time=55 ms, resolver_address=162.159.36.1}
2025-04-04T01:04:07.401Z-04:00 | INFO | {request_id=13936, questions={requestName=connectivity.cloudflareclient.com, request_type=A}, answers=[{resolvedAddress=162.159.137.65, resolvedType=A}, {resolvedAddress=162.159.138.65, resolvedType=A}], response_code=NO_ERROR, resolver_type=https, resolving_time=33 ms, resolver_address=162.159.36.1}
